Iteration,Mean,Min,Max
0,9.4700,8.0000,14.0000
10,9.2800,8.0000,11.0000
20,9.3000,8.0000,11.0000
30,9.3300,8.0000,11.0000
40,9.3800,8.0000,11.0000
50,9.3400,8.0000,11.0000
60,10.2200,8.0000,27.0000
70,9.1900,8.0000,11.0000
80,9.3200,8.0000,11.0000
90,15.2300,8.0000,24.0000
100,12.6800,8.0000,19.0000
110,14.0400,8.0000,19.0000
120,19.9600,13.0000,28.0000
130,49.5000,29.0000,162.0000
140,40.2500,20.0000,85.0000
150,39.8800,21.0000,118.0000
160,38.2800,20.0000,100.0000
170,40.2200,17.0000,121.0000
180,47.1700,23.0000,95.0000
190,42.8400,21.0000,130.0000
200,54.4700,22.0000,156.0000
210,63.2900,33.0000,130.0000
220,44.2700,20.0000,93.0000
230,50.8000,22.0000,124.0000
240,47.6400,21.0000,86.0000
250,54.5400,29.0000,158.0000
260,66.5200,28.0000,169.0000
270,69.8500,33.0000,169.0000
280,56.3900,31.0000,154.0000
290,48.7000,26.0000,96.0000
300,69.3700,38.0000,200.0000
310,70.2300,34.0000,165.0000
320,50.9800,30.0000,101.0000
330,53.6700,28.0000,186.0000
340,48.7100,29.0000,129.0000
350,55.7700,31.0000,163.0000
360,66.6700,33.0000,140.0000
370,67.8800,36.0000,159.0000
380,53.3500,29.0000,119.0000
390,55.1100,32.0000,122.0000
400,53.6600,32.0000,110.0000
410,51.2000,26.0000,154.0000
420,34.9000,23.0000,61.0000
430,71.3400,39.0000,136.0000
440,53.5700,28.0000,146.0000
450,43.0300,25.0000,83.0000
460,53.6400,26.0000,124.0000
470,41.3700,24.0000,77.0000
480,54.8600,32.0000,147.0000
490,79.7300,40.0000,163.0000
500,79.1100,41.0000,200.0000
510,56.4000,33.0000,160.0000
520,51.0900,28.0000,106.0000
530,60.2400,32.0000,156.0000
540,62.9300,39.0000,131.0000
550,67.6800,39.0000,159.0000
560,101.1100,51.0000,192.0000
570,42.8600,26.0000,94.0000
580,39.0000,25.0000,63.0000
590,43.8600,28.0000,103.0000
600,65.6000,40.0000,114.0000
610,66.7800,37.0000,158.0000
620,97.2600,51.0000,200.0000
630,104.7100,56.0000,200.0000
640,73.0700,41.0000,169.0000
650,91.6500,54.0000,200.0000
660,75.6200,49.0000,183.0000
670,58.8300,36.0000,115.0000
680,50.8700,31.0000,83.0000
690,47.7700,31.0000,87.0000
700,55.9100,34.0000,142.0000
710,79.2400,43.0000,200.0000
720,52.7600,33.0000,109.0000
730,70.8300,41.0000,166.0000
740,31.2400,24.0000,43.0000
750,58.4900,34.0000,110.0000
760,54.0700,34.0000,115.0000
770,35.0400,25.0000,47.0000
780,51.4100,31.0000,92.0000
790,44.7900,29.0000,75.0000
800,34.3400,24.0000,49.0000
810,35.5700,26.0000,50.0000
820,66.3600,40.0000,147.0000
830,105.0200,62.0000,200.0000
840,139.3300,77.0000,200.0000
850,45.3100,30.0000,72.0000
860,27.2700,21.0000,36.0000
870,108.3600,69.0000,200.0000
880,62.6700,41.0000,95.0000
890,128.8700,89.0000,200.0000
900,32.2900,24.0000,42.0000
910,174.4100,133.0000,200.0000
920,138.9400,96.0000,200.0000
930,79.7200,55.0000,149.0000
940,106.0900,77.0000,172.0000
950,73.7600,48.0000,127.0000
960,140.6600,111.0000,197.0000
970,94.9800,62.0000,172.0000
980,86.6700,61.0000,137.0000
990,190.5700,149.0000,200.0000
1000,34.6900,27.0000,46.0000
1010,26.0100,19.0000,34.0000
1020,26.0900,19.0000,34.0000
1030,38.2300,29.0000,50.0000
1040,199.8200,188.0000,200.0000
1050,75.0100,48.0000,116.0000
1060,36.6100,27.0000,46.0000
1070,94.0400,65.0000,200.0000
1080,42.1300,31.0000,55.0000
1090,55.1100,39.0000,96.0000
1100,146.1700,94.0000,200.0000
1110,51.1000,36.0000,73.0000
1120,54.4900,38.0000,81.0000
1130,38.4600,27.0000,51.0000
1140,25.6200,20.0000,34.0000
