Iteration,Mean,Min,Max
0,9.9200,8.0000,58.0000
10,9.3400,8.0000,11.0000
20,9.3800,8.0000,10.0000
30,35.6600,10.0000,57.0000
40,14.8800,9.0000,57.0000
50,9.2800,8.0000,11.0000
60,9.4900,8.0000,11.0000
70,12.0300,8.0000,35.0000
80,9.3900,8.0000,11.0000
90,9.3700,8.0000,11.0000
100,82.9300,13.0000,200.0000
110,66.7300,19.0000,200.0000
120,33.2400,13.0000,122.0000
130,39.1900,16.0000,91.0000
140,58.2200,32.0000,122.0000
150,48.1300,24.0000,146.0000
160,45.6000,28.0000,76.0000
170,59.1300,35.0000,135.0000
180,54.3700,32.0000,96.0000
190,54.7200,31.0000,106.0000
200,51.6900,32.0000,101.0000
210,38.9600,24.0000,66.0000
220,44.0300,27.0000,72.0000
230,43.5300,27.0000,89.0000
240,52.3900,32.0000,105.0000
250,43.0600,26.0000,88.0000
260,49.0500,29.0000,102.0000
270,67.2700,38.0000,128.0000
280,53.6700,33.0000,113.0000
290,78.0300,45.0000,162.0000
300,103.5900,48.0000,200.0000
310,51.4900,31.0000,102.0000
320,137.4400,63.0000,200.0000
330,51.7700,33.0000,136.0000
340,128.3800,59.0000,200.0000
350,97.9300,46.0000,200.0000
360,80.8200,43.0000,147.0000
370,129.1300,61.0000,200.0000
380,91.0500,49.0000,200.0000
390,77.6900,47.0000,124.0000
400,38.0200,27.0000,59.0000
410,126.2200,92.0000,180.0000
420,100.0800,56.0000,200.0000
430,117.2100,93.0000,165.0000
440,39.4400,26.0000,59.0000
450,55.6700,36.0000,106.0000
460,30.7500,24.0000,38.0000
470,119.9300,97.0000,200.0000
480,154.4300,105.0000,200.0000
490,72.5200,42.0000,135.0000
500,54.7500,36.0000,92.0000
510,91.0300,42.0000,119.0000
520,52.0100,36.0000,86.0000
530,118.4200,96.0000,171.0000
540,91.0600,40.0000,128.0000
550,125.2900,99.0000,173.0000
560,61.4000,40.0000,107.0000
570,55.6500,39.0000,104.0000
580,159.8400,102.0000,200.0000
590,100.0300,85.0000,129.0000
600,34.3100,26.0000,43.0000
610,59.2800,40.0000,116.0000
620,61.3900,41.0000,121.0000
630,80.6600,54.0000,150.0000
640,39.7500,30.0000,59.0000
650,91.9600,44.0000,137.0000
660,29.4000,22.0000,36.0000
670,26.3100,20.0000,35.0000
680,26.7700,21.0000,36.0000
690,45.1100,32.0000,64.0000
700,175.1400,113.0000,200.0000
710,111.2500,70.0000,194.0000
720,35.5800,27.0000,49.0000
730,111.4500,86.0000,150.0000
740,58.4600,41.0000,83.0000
750,31.8200,24.0000,41.0000
760,43.5900,30.0000,64.0000
770,64.9600,43.0000,125.0000
780,46.0600,31.0000,68.0000
790,37.8300,28.0000,52.0000
800,52.9400,33.0000,104.0000
810,163.6300,92.0000,200.0000
820,157.4200,80.0000,200.0000
830,138.7700,76.0000,200.0000
840,63.3100,42.0000,121.0000
850,51.1200,34.0000,90.0000
860,43.5600,31.0000,66.0000
870,26.4200,20.0000,36.0000
880,26.7700,21.0000,36.0000
890,37.0500,28.0000,49.0000
900,24.5700,19.0000,34.0000
910,34.2500,26.0000,44.0000
920,26.6400,20.0000,36.0000
930,21.7300,16.0000,28.0000
940,22.6200,17.0000,30.0000
950,22.5300,17.0000,30.0000
960,28.1600,22.0000,37.0000
970,24.1900,17.0000,33.0000
980,23.6700,18.0000,32.0000
990,24.0600,17.0000,33.0000
1000,23.1900,17.0000,32.0000
1010,23.9000,17.0000,31.0000
1020,23.5200,17.0000,31.0000
1030,22.6600,17.0000,31.0000
1040,24.5500,18.0000,33.0000
1050,28.1600,21.0000,37.0000
1060,26.9500,21.0000,35.0000
1070,24.7000,18.0000,33.0000
1080,24.5200,18.0000,32.0000
1090,23.1400,17.0000,31.0000
1100,24.1300,17.0000,34.0000
1110,25.1800,19.0000,37.0000
1120,25.0700,18.0000,34.0000
1130,24.6000,19.0000,33.0000
1140,30.0000,24.0000,37.0000
1150,43.8200,31.0000,64.0000
1160,71.7100,45.0000,148.0000
1170,52.7800,35.0000,85.0000
1180,43.9700,31.0000,64.0000
1190,38.1900,29.0000,53.0000
1200,35.1400,27.0000,47.0000
1210,101.3000,63.0000,143.0000
1220,81.5900,55.0000,147.0000
1230,50.5400,36.0000,75.0000
1240,146.0400,113.0000,200.0000
1250,183.6200,144.0000,200.0000
1260,32.6800,24.0000,40.0000
1270,25.5700,19.0000,35.0000
1280,20.7100,16.0000,25.0000
1290,20.5000,16.0000,25.0000
1300,19.1300,15.0000,23.0000
1310,24.0100,17.0000,31.0000
1320,17.7300,14.0000,22.0000
1330,16.5200,13.0000,20.0000
1340,21.8000,17.0000,28.0000
1350,25.8500,20.0000,34.0000
1360,24.5000,18.0000,33.0000
1370,24.7800,18.0000,33.0000
1380,28.4600,22.0000,36.0000
1390,30.8000,24.0000,40.0000
1400,46.4100,33.0000,66.0000
1410,49.9300,34.0000,74.0000
1420,55.0000,38.0000,90.0000
1430,44.1000,31.0000,60.0000
1440,30.0100,24.0000,38.0000
1450,61.9700,41.0000,127.0000
1460,66.9700,44.0000,146.0000
1470,39.4100,29.0000,53.0000
1480,32.2300,25.0000,42.0000
1490,26.1000,19.0000,34.0000
1500,28.0400,22.0000,34.0000
1510,22.6400,17.0000,30.0000
1520,23.3900,17.0000,32.0000
1530,24.2700,17.0000,33.0000
1540,21.5300,16.0000,27.0000
1550,22.5700,17.0000,31.0000
1560,22.3300,17.0000,30.0000
1570,25.0200,19.0000,34.0000
1580,38.4000,29.0000,50.0000
1590,66.5600,47.0000,116.0000
1600,51.4700,36.0000,79.0000
1610,53.5200,35.0000,83.0000
1620,57.0400,38.0000,109.0000
1630,171.0300,125.0000,200.0000
1640,126.0200,106.0000,191.0000
1650,57.9700,38.0000,87.0000
